approach,share_reviewed,accounts_reviewed,precision,recall
B5a Integrated rules (>=2 families),0.14500000000000002,1345,0.3137546468401487,0.4947245017584994
B5a Integrated rules (>=2 families),0.15,1392,0.3117816091954023,0.5087924970691676
B5a Integrated rules (>=2 families),0.155,1438,0.31084840055632823,0.5240328253223916
B5a Integrated rules (>=2 families),0.16,1484,0.3025606469002695,0.5263774912075029
B5a Integrated rules (>=2 families),0.165,1531,0.2952318745917701,0.52989449003517
B5a Integrated rules (>=2 families),0.17,1577,0.2872542802790108,0.5310668229777257
B5a Integrated rules (>=2 families),0.17500000000000002,1623,0.28034504004929145,0.5334114888628371
B5a Integrated rules (>=2 families),0.18000000000000002,1670,0.274251497005988,0.536928487690504
B5a Integrated rules (>=2 families),0.185,1716,0.270979020979021,0.5451348182883939
B5a Integrated rules (>=2 families),0.19,1763,0.26488939307997733,0.5474794841735052
B5a Integrated rules (>=2 families),0.195,1809,0.2609176340519624,0.5533411488862837
B5a Integrated rules (>=2 families),0.2,1855,0.2560646900269542,0.5568581477139508
B5b Integrated risk score (top 1%),0.005,46,0.9130434782608695,0.0492379835873388
B5b Integrated risk score (top 1%),0.01,93,0.8817204301075269,0.09613130128956623
B5b Integrated risk score (top 1%),0.015,139,0.8561151079136691,0.1395076201641266
B5b Integrated risk score (top 1%),0.02,186,0.8279569892473119,0.18053927315357562
B5b Integrated risk score (top 1%),0.025,232,0.7974137931034483,0.21688159437280188
B5b Integrated risk score (top 1%),0.030000000000000002,278,0.7661870503597122,0.24970691676436108
B5b Integrated risk score (top 1%),0.034999999999999996,325,0.7323076923076923,0.2790152403282532
B5b Integrated risk score (top 1%),0.04,371,0.7169811320754716,0.3118405627198124
B5b Integrated risk score (top 1%),0.045,417,0.6954436450839329,0.3399765533411489
B5b Integrated risk score (top 1%),0.049999999999999996,464,0.6875,0.37397420867526376
B5b Integrated risk score (top 1%),0.05,464,0.6875,0.37397420867526376
B5b Integrated risk score (top 1%),0.055,510,0.6470588235294118,0.38686987104337633
B5b Integrated risk score (top 1%),0.06,557,0.6068222621184919,0.3962485345838218
B5b Integrated risk score (top 1%),0.065,603,0.5754560530679934,0.406799531066823
B5b Integrated risk score (top 1%),0.07,649,0.551617873651772,0.4196951934349355
B5b Integrated risk score (top 1%),0.07500000000000001,696,0.521551724137931,0.42555685814771393
B5b Integrated risk score (top 1%),0.08,742,0.4973045822102426,0.43259085580304807
B5b Integrated risk score (top 1%),0.085,789,0.4841571609632446,0.447831184056272
