variant,pr_auc,roc_auc,precision_top5pct
random_081,0.45634503689683636,0.7534058053303853,0.6918103448275862
random_082,0.45422891529255355,0.7534952889583605,0.6918103448275862
random_083,0.4576162379771149,0.7535076051342171,0.6875
random_084,0.45627376871366354,0.7534199306620173,0.6918103448275862
random_085,0.45456561387129496,0.7534739270036261,0.6918103448275862
random_086,0.4567334041261389,0.7534083103153053,0.6875
random_087,0.4574302103951432,0.7535725259933934,0.6896551724137931
random_088,0.45417786950212596,0.7536804490936964,0.6896551724137931
random_089,0.45763524909054093,0.753512128023656,0.6896551724137931
random_090,0.4433709012084313,0.7500574754873309,0.6336206896551724
random_091,0.4497360958560179,0.7520302902776526,0.6551724137931034
random_092,0.4555623944233671,0.7530885768234342,0.665948275862069
random_093,0.45888500875784494,0.7537779347568327,0.6831896551724138
random_094,0.45388404200077187,0.753606899953129,0.6918103448275862
random_095,0.45758527247387437,0.7534415013654951,0.6853448275862069
random_096,0.4593159883865194,0.7540360873694207,0.6918103448275862
random_097,0.45856847883278,0.7537059164403831,0.6853448275862069
random_098,0.45529696335434344,0.7534002386972296,0.6918103448275862
random_099,0.45692647568925815,0.7534229227273385,0.6875
random_100,0.4565059063697548,0.7533675347274409,0.6875
random_101,0.4594322988074641,0.7540254411835108,0.6853448275862069
random_102,0.45613689871666424,0.753422853144424,0.6875
random_103,0.457222790578771,0.7533724055314521,0.6853448275862069
random_104,0.449497131343619,0.7519225063431785,0.6508620689655172
random_105,0.4589640055931349,0.7538048633447226,0.6853448275862069
random_106,0.45841964122697276,0.753691025696692,0.6896551724137931
random_107,0.45781411679339773,0.7536536596716354,0.6918103448275862
random_108,0.45741659796365786,0.7535668897773236,0.6918103448275862
random_109,0.4577350080820593,0.7535732914054525,0.6918103448275862
random_110,0.4594089788822347,0.7540556401683796,0.6896551724137931
random_111,0.4507406514387562,0.7525108298848041,0.6594827586206896
random_112,0.4586620162011072,0.7537093260031908,0.6831896551724138
random_113,0.45036701508309296,0.7523558687343368,0.6573275862068966
random_114,0.4552083215206191,0.7530850976777119,0.6681034482758621
random_115,0.45650339798813777,0.7533671868128687,0.6875
random_116,0.4578527690540235,0.7535602098175369,0.6896551724137931
random_117,0.4541124706845181,0.7529576913613647,0.6637931034482759
random_118,0.4568568914427078,0.7534156861042363,0.6875
random_119,0.45594914034613226,0.7532463908733935,0.665948275862069
random_120,0.45776575012703313,0.7535373866215992,0.6875
random_121,0.4564978612762519,0.7533833300490198,0.6637931034482759
random_122,0.45307981986264,0.7537132226463996,0.6918103448275862
random_123,0.45396856924391665,0.7535217304658492,0.6918103448275862
random_124,0.45727309135090743,0.7535677247722969,0.6918103448275862
random_125,0.4589970256275018,0.7538395852190303,0.6831896551724138
random_126,0.4559843062986419,0.7532237764261992,0.6831896551724138
random_127,0.45810051283588743,0.7536217211139055,0.6875
random_128,0.453371670617069,0.7527979289898008,0.6616379310344828
random_129,0.45423939497187404,0.7534875652548572,0.6918103448275862
random_130,0.4564857004135328,0.7534209744057341,0.6875
random_131,0.45548054250657827,0.7533960637223631,0.6918103448275862
random_132,0.4584146803083676,0.7536825365811297,0.6875
random_133,0.4569770858788963,0.753639186425431,0.6702586206896551
random_134,0.4567381164992509,0.7533918191645821,0.6875
random_135,0.45515042363822966,0.7531162012404686,0.6767241379310345
random_136,0.4565639958900165,0.7533804771495276,0.6918103448275862
random_137,0.4542461046737095,0.7537017414655164,0.6918103448275862
random_138,0.45174579396875564,0.7528046089495875,0.6594827586206896
random_139,0.4521062488450452,0.7525738720052905,0.6616379310344828
random_140,0.45516667257771315,0.7534128332047442,0.6918103448275862
random_141,0.45743655998051974,0.7536245044304832,0.6918103448275862
random_142,0.455400886967917,0.7533951591444753,0.6918103448275862
random_143,0.45793575175141155,0.7535503290436858,0.6853448275862069
random_144,0.45385353426691705,0.752949898074947,0.6637931034482759
random_145,0.4575659901527498,0.7534667599634384,0.6875
random_146,0.45774592569096006,0.7535358557974814,0.6875
random_147,0.45385943070611645,0.7528506728389495,0.6616379310344828
random_148,0.45885653705654617,0.7538126566311405,0.6896551724137931
random_149,0.4578178260424139,0.753538917445717,0.6875
random_150,0.45609960960156687,0.7533602981043387,0.6918103448275862
random_151,0.4578816094651062,0.7535998720787701,0.6896551724137931
random_152,0.45689856457074945,0.7533832604661055,0.6875
random_153,0.4558415009439306,0.7533609243505687,0.6896551724137931
random_154,0.4555295054503099,0.7533869483605709,0.6616379310344828
random_155,0.4559240032539214,0.7531811220996449,0.6767241379310345
random_156,0.451774214440444,0.7524152925432722,0.6594827586206896
random_157,0.4493433351665192,0.7519650910868183,0.6551724137931034
